period,town_code,town_name,county_pref,county_name,is_mountain,total_pop,n_source_counties,diversity_entropy,gini_concentration,top1_src_county,top1_src_cnt,top2_src_county,top2_src_cnt,top3_src_county,top3_src_cnt
2017H2,6600001,臺中(T01),66000,臺中,0,35,10,1.6082,0.5686,臺中,19,南投,5,新北,2
2017H2,6600008,臺中(T08),66000,臺中,0,769,19,1.2939,0.8253,臺中,509,南投,125,桃園,24
2017H2,6600004,臺中(T04),66000,臺中,0,123,13,1.7945,0.6329,臺中,58,南投,17,苗栗,14
2017H2,6600010,臺中(T10),66000,臺中,0,462,15,1.1187,0.8098,臺中,337,苗栗,53,南投,18
2017H2,1000207,宜蘭(T07),10002,宜蘭,0,218,11,0.6009,0.8274,宜蘭,193,花蓮,5,臺中,4
2017H2,1001509,花蓮(T09),10015,花蓮,0,89,10,0.8925,0.7449,花蓮,72,臺北,3,臺中,3
2017H2,1001330,屏東(T30),10013,屏東,1,30,10,2.2003,0.2467,南投,5,桃園,5,新竹縣,4
2017H2,1002002,嘉義市(T02),10020,嘉義市,0,38,12,2.0995,0.4342,嘉義市,14,嘉義縣,4,桃園,3
2017H2,1002001,嘉義市(T01),10020,嘉義市,0,38,12,2.1284,0.4298,嘉義市,13,嘉義縣,5,臺中,3
2017H2,6500001,新北(T01),65000,新北,0,405,15,2.0722,0.5893,新北,148,桃園,49,臺北,48
2017H2,1001702,基隆(T02),10017,基隆,0,99,14,2.2475,0.4798,基隆,24,新北,14,宜蘭,12
2017H2,6500004,新北(T04),65000,新北,0,190,15,2.1154,0.5839,新北,55,臺北,36,宜蘭,24
2017H2,6800012,桃園(T12),68000,桃園,0,330,16,1.5145,0.764,桃園,189,新竹縣,57,花蓮,23
2017H2,1000913,雲林(T13),10009,雲林,0,41,11,2.1497,0.3725,桃園,10,臺中,9,南投,4
2017H2,6300004,臺北(T04),63000,臺北,0,283,17,2.1381,0.6153,臺北,85,宜蘭,68,臺中,23
2017H2,6800004,桃園(T04),68000,桃園,0,799,20,1.6542,0.7867,桃園,418,新竹縣,143,宜蘭,65
2017H2,1000512,苗栗(T12),10005,苗栗,0,33,5,0.7876,0.6303,苗栗,26,新竹縣,3,臺中,2
2017H2,6400002,高雄(T02),64000,高雄,0,53,10,1.7162,0.5226,高雄,27,南投,5,花蓮,5
2017H2,6500015,新北(T15),65000,新北,0,170,11,1.9224,0.523,新北,60,臺北,30,桃園,22
2017H2,1000901,雲林(T01),10009,雲林,0,47,12,1.9719,0.516,雲林,14,臺中,14,新竹縣,4
2017H2,6500005,新北(T05),65000,新北,0,397,17,2.1531,0.6108,新北,128,臺北,55,花蓮,39
2017H2,6800009,桃園(T09),68000,桃園,0,1185,18,1.3577,0.8098,桃園,747,新竹縣,207,花蓮,44
2017H2,6500006,新北(T06),65000,新北,0,543,14,1.9301,0.6263,新北,187,宜蘭,101,臺北,97
2017H2,1000502,苗栗(T02),10005,苗栗,0,30,7,1.6611,0.4095,苗栗,11,臺中,7,南投,5
2017H2,6600018,臺中(T18),66000,臺中,0,176,17,1.845,0.6818,臺中,89,南投,22,苗栗,15
2017H2,1000811,南投(T11),10008,南投,0,34,8,1.3123,0.6103,南投,21,臺中,5,桃園,3
2017H2,6600003,臺中(T03),66000,臺中,0,147,15,1.7023,0.6984,臺中,68,南投,38,桃園,8
2017H2,6400014,高雄(T14),64000,高雄,0,69,14,1.9636,0.5621,高雄,32,花蓮,7,新竹縣,5
2017H2,1000509,苗栗(T09),10005,苗栗,0,119,10,1.3214,0.6882,苗栗,76,臺中,14,新竹縣,10
2017H2,1001301,屏東(T01),10013,屏東,0,99,16,2.1471,0.5751,屏東,37,桃園,13,南投,11
2017H2,1001506,花蓮(T06),10015,花蓮,0,118,10,1.1579,0.7271,花蓮,82,桃園,11,宜蘭,11
2017H2,6300001,臺北(T01),63000,臺北,0,134,12,2.0276,0.4714,臺北,54,宜蘭,14,桃園,12
2017H2,1000803,南投(T03),10008,南投,0,106,15,1.5604,0.722,南投,59,臺中,21,新竹縣,5
2017H2,1001404,臺東(T04),10014,臺東,0,50,11,1.9959,0.4727,臺東,18,花蓮,7,桃園,6
2017H2,6600014,臺中(T14),66000,臺中,0,79,12,1.9245,0.558,臺中,30,花蓮,11,南投,10
2017H2,6500003,新北(T03),65000,新北,0,491,16,2.0371,0.6371,新北,161,臺北,84,宜蘭,63
2017H2,1001511,秀林鄉,10015,花蓮,1,465,15,1.3102,0.7796,花蓮,310,宜蘭,59,桃園,25
2017H2,1000510,苗栗(T10),10005,苗栗,0,78,8,1.2522,0.6538,苗栗,48,新竹縣,11,臺中,10
